city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"Bahria Town - Overseas Enclave, Bahria Town",100000000,5,6,4500.0,1000.0,20.0,22222.222222222223,5,5 â€“ 10 Cr
Lahore,"Johar Town Phase 1, Johar Town",75000000,5,6,4500.0,750.0,20.0,16666.666666666668,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6, DHA Defence",209000000,6,7,9000.0,2090.0,40.0,23222.222222222223,6,10 â€“ 50 Cr
Lahore,"Bankers Co-operative Housing Society, Lahore",20000000,3,4,1125.0,200.0,5.0,17777.777777777777,3,50L â€“ 2.5 Cr
Lahore,"State Life Phase 1 - Block F, State Life Housing Phase 1",35000000,4,5,2250.0,350.0,10.0,15555.555555555555,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6, DHA Defence",450000000,6,7,9000.0,4500.0,40.0,50000.0,6,10 â€“ 50 Cr
Lahore,"DHA Phase 7, DHA Defence",57900000,5,6,4500.0,579.0,20.0,12866.666666666666,5,5 â€“ 10 Cr
Lahore,"DHA 9 Town, DHA Defence",19000000,3,4,1125.0,190.0,5.0,16888.88888888889,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Ghaznavi Block, Bahria Town - Sector F",46500000,6,6,2430.0,465.0,10.8,19135.802469135804,6,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6, DHA Defence",350000000,5,6,9000.0,3500.0,40.0,38888.88888888889,5,10 â€“ 50 Cr
Lahore,"Pak Arab Housing Society, Lahore",14800000,4,4,900.0,148.0,4.0,16444.444444444445,4,50L â€“ 2.5 Cr
Lahore,"Architects Engineers Housing Society, Lahore",49000000,5,5,4500.0,490.0,20.0,10888.888888888889,5,2.5 â€“ 5 Cr
Lahore,"Architects Engineers Housing Society, Lahore",53000000,5,5,4500.0,530.0,20.0,11777.777777777777,5,5 â€“ 10 Cr
Lahore,"Ferozepur Road, Lahore",4000000,2,1,675.0,40.0,3.0,5925.925925925926,2,< 50 Lakh
Lahore,"Bahria Town - Nargis Extension, Bahria Town - Sector C",31500000,5,6,2250.0,315.0,10.0,14000.0,5,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Sector B, Bahria Town",29500000,5,6,2250.0,295.0,10.0,13111.111111111111,5,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Sector C, Bahria Town",39800000,5,6,2250.0,398.0,10.0,17688.88888888889,5,2.5 â€“ 5 Cr
Lahore,"Punjab Small Industries Colony, Lahore",22000000,5,5,2250.0,220.0,10.0,9777.777777777777,5,50L â€“ 2.5 Cr
Lahore,"DHA Phase 5 - Block L, DHA Phase 5",54500000,5,6,2250.0,545.0,10.0,24222.222222222223,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Sector F, Bahria Town",45000000,5,6,2250.0,450.0,10.0,20000.0,5,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Safari Villas, Bahria Town - Sector B",15000000,2,3,1350.0,150.0,6.0,11111.111111111111,2,50L â€“ 2.5 Cr
Lahore,"Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue",53500000,4,5,2250.0,535.0,10.0,23777.777777777777,4,5 â€“ 10 Cr
Lahore,"DHA Phase 6 - Block J, DHA Phase 6",41500000,4,4,1575.0,415.0,7.0,26349.20634920635,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 5, DHA Defence",61500000,5,6,2250.0,615.0,10.0,27333.333333333332,5,5 â€“ 10 Cr
Lahore,"Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue",53000000,4,5,2250.0,530.0,10.0,23555.555555555555,4,5 â€“ 10 Cr
Lahore,"DHA Phase 6 - Block E, DHA Phase 6",110000000,5,6,4500.0,1100.0,20.0,24444.444444444445,5,10 â€“ 50 Cr
